inst name: GRS_INST/grs, gop: gopGRS, impl:START, loc(48, 326), worst slack: 2147483647
inst name: N11/gateop, gop: gopLUT5, impl:devCL, loc(86, 68), worst slack: 2147483647
inst name: clkbufg_0/gopclkbufg, gop: gopCLKBUFG, impl:USCM, loc(74, 107), worst slack: 2147483647
inst name: clkbufg_1/gopclkbufg, gop: gopCLKBUFG, impl:USCM, loc(74, 106), worst slack: 2147483647
inst name: cmos_pclkbufg/gopclkbufg, gop: gopCLKBUFG, impl:USCM, loc(74, 104), worst slack: 2147483647
inst name: cmos_write_req_gen_m0/N6/gateop, gop: gopLUT5, impl:devCL, loc(38, 48), worst slack: 998596
inst name: cmos_write_req_gen_m0/cmos_vsync_d0/opit_0_inv, gop: gopQ, impl:devBQ_S, loc(38, 45), worst slack: 998596
inst name: cmos_write_req_gen_m0/cmos_vsync_d1/opit_0_inv, gop: gopQ, impl:devCQ_S, loc(38, 45), worst slack: 998651
inst name: cmos_write_req_gen_m0/read_addr_index[0]/opit_0_inv, gop: gopQ, impl:devDQ, loc(38, 48), worst slack: 998596
inst name: cmos_write_req_gen_m0/read_addr_index[1]/opit_0_inv, gop: gopQ, impl:devCQ, loc(38, 48), worst slack: 998596
inst name: cmos_write_req_gen_m0/write_addr_index[0]/opit_0_inv_L5Q, gop: gopL5Q, impl:devBLQ, loc(38, 48), worst slack: 998596
inst name: cmos_write_req_gen_m0/write_addr_index[1]/opit_0_inv_L5Q, gop: gopL5Q, impl:devALQ, loc(38, 48), worst slack: 998596
inst name: cmos_write_req_gen_m0/write_req/opit_0_inv_L5Q, gop: gopL5Q, impl:devALQ_S, loc(38, 45), worst slack: 998954
inst name: ddr_init_done_obuf/opit_0, gop: gopOBUF, impl:devOBUFAD, loc(152, 110), worst slack: 2147483647
inst name: ddr_init_done_obuf/opit_1, gop: gopOBUFIOL, impl:devOBUFIOL, loc(151, 110), worst slack: 2147483647
inst name: ddrphy_rst_done_obuf/opit_0, gop: gopOBUF, impl:devOBUFBS, loc(152, 117), worst slack: 2147483647
inst name: ddrphy_rst_done_obuf/opit_1, gop: gopOBUFIOL, impl:devOBUFIOL, loc(151, 117), worst slack: 2147483647
inst name: de_input_ibuf/opit_0, gop: gopIBUF, impl:devIBUFAD, loc(152, 10), worst slack: 2147483647
inst name: de_input_ibuf/opit_1, gop: gopIBUFIOL, impl:devIBUFIOL, loc(151, 10), worst slack: 2147483647
inst name: ds0_obuf/opit_0, gop: gopOBUF, impl:devOBUFBS, loc(152, 257), worst slack: 2147483647
inst name: ds0_obuf/opit_1, gop: gopOBUFIOL, impl:devOBUFIOL, loc(151, 257), worst slack: 2147483647
inst name: ds1_obuf/opit_0, gop: gopOBUF, impl:devOBUFAD, loc(152, 254), worst slack: 2147483647
inst name: ds1_obuf/opit_1, gop: gopOBUFIOL, impl:devOBUFIOL, loc(151, 254), worst slack: 2147483647
inst name: ds2_obuf/opit_0, gop: gopOBUF, impl:devOBUFBS, loc(152, 225), worst slack: 2147483647
inst name: ds2_obuf/opit_1, gop: gopOBUFIOL, impl:devOBUFIOL, loc(151, 225), worst slack: 2147483647
inst name: ds3_obuf/opit_0, gop: gopOBUF, impl:devOBUFBS, loc(152, 233), worst slack: 2147483647
inst name: ds3_obuf/opit_1, gop: gopOBUFIOL, impl:devOBUFIOL, loc(151, 233), worst slack: 2147483647
inst name: ds4_obuf/opit_0, gop: gopOBUF, impl:devOBUFBS, loc(152, 241), worst slack: 2147483647
inst name: ds4_obuf/opit_1, gop: gopOBUFIOL, impl:devOBUFIOL, loc(151, 241), worst slack: 2147483647
inst name: ds5_obuf/opit_0, gop: gopOBUF, impl:devOBUFBS, loc(152, 173), worst slack: 2147483647
inst name: ds5_obuf/opit_1, gop: gopOBUFIOL, impl:devOBUFIOL, loc(151, 173), worst slack: 2147483647
inst name: dvi_encoder_m0/encb/N14_1_maj0_1/gateop, gop: gopLUT5, impl:devBL, loc(42, 305), worst slack: 10879
inst name: dvi_encoder_m0/encb/N21_1/gateop, gop: gopLUT5, impl:devAL_S, loc(46, 305), worst slack: 10057
inst name: dvi_encoder_m0/encb/N74_1_maj0_1/gateop, gop: gopLUT5, impl:devDL_S, loc(86, 297), worst slack: 9855
inst name: dvi_encoder_m0/encb/N94.eq_0/gateop_A2, gop: gopA2, impl:devABLC, loc(98, 284), worst slack: 7725
inst name: dvi_encoder_m0/encb/N95/gateop, gop: gopLUT5, impl:devCL, loc(106, 284), worst slack: 7725
inst name: dvi_encoder_m0/encb/N97.lt_0/gateop_A2, gop: gopA2, impl:devABLC, loc(94, 284), worst slack: 8910
inst name: dvi_encoder_m0/encb/N99.lt_0/gateop_A2, gop: gopA2, impl:devABLC_S, loc(94, 285), worst slack: 8918
inst name: dvi_encoder_m0/encb/N101/gateop, gop: gopLUT5, impl:devAL, loc(98, 313), worst slack: 8986
inst name: dvi_encoder_m0/encb/N125_2/gateop_A2, gop: gopA2, impl:devABLC, loc(102, 280), worst slack: 9310
inst name: dvi_encoder_m0/encb/N125_4/gateop_A2, gop: gopA2, impl:devCDLC, loc(102, 280), worst slack: 9310
inst name: dvi_encoder_m0/encb/N135_sum3_6/gateop, gop: gopLUT5, impl:devAL_S, loc(102, 289), worst slack: 9668
inst name: dvi_encoder_m0/encb/N172_4/gateop, gop: gopLUT5, impl:devBL, loc(106, 284), worst slack: 8256
inst name: dvi_encoder_m0/encb/N229/gateop, gop: gopLUT5, impl:devAL, loc(102, 300), worst slack: 9321
inst name: dvi_encoder_m0/encb/N243_4[1]/gateop, gop: gopLUT5, impl:devDL, loc(102, 296), worst slack: 8598
inst name: dvi_encoder_m0/encb/N243_4[2]/gateop, gop: gopLUT5, impl:devAL, loc(98, 297), worst slack: 8681
inst name: dvi_encoder_m0/encb/N243_4[3]/gateop, gop: gopLUT5, impl:devBL, loc(94, 296), worst slack: 8551
inst name: dvi_encoder_m0/encb/N243_5.fsub_1/gateop_A2, gop: gopA2, impl:devABLC, loc(106, 297), worst slack: 7986
inst name: dvi_encoder_m0/encb/N243_5.fsub_3/gateop_A2, gop: gopA2, impl:devCDLC, loc(106, 297), worst slack: 7725
inst name: dvi_encoder_m0/encb/N243_5.fsub_5/gateop, gop: gopA, impl:devALC, loc(106, 301), worst slack: 7725
inst name: dvi_encoder_m0/encb/N243_7[1]/gateop, gop: gopLUT5, impl:devAL, loc(98, 292), worst slack: 7725
inst name: dvi_encoder_m0/encb/N243_7[2]/gateop, gop: gopLUT5, impl:devBL, loc(98, 292), worst slack: 8021
inst name: dvi_encoder_m0/encb/N243_7[3]/gateop, gop: gopLUT5, impl:devBL_S, loc(94, 293), worst slack: 8037
inst name: dvi_encoder_m0/encb/N243_8_1/gateop_A2, gop: gopA2, impl:devABLC, loc(106, 292), worst slack: 7725
inst name: dvi_encoder_m0/encb/N243_8_3/gateop_A2, gop: gopA2, impl:devCDLC, loc(106, 292), worst slack: 7725
inst name: dvi_encoder_m0/encb/N243_8_5/gateop, gop: gopA, impl:devALC, loc(106, 296), worst slack: 8026
inst name: dvi_encoder_m0/encb/N245_3[0]/gateop, gop: gopLUT5, impl:devAL, loc(102, 304), worst slack: 8986
inst name: dvi_encoder_m0/encb/N245_3[1]/gateop, gop: gopLUT5, impl:devCL, loc(102, 300), worst slack: 9321
inst name: dvi_encoder_m0/encb/N245_3[2]/gateop, gop: gopMUX4TO1, impl:devBMUX, loc(102, 300), worst slack: 9326
inst name: dvi_encoder_m0/encb/N245_3[3]/gateop, gop: gopMUX4TO1, impl:devAMUX, loc(98, 293), worst slack: 9310
inst name: dvi_encoder_m0/encb/N245_5[1]/gateop, gop: gopMUX4TO1, impl:devCMUX_S, loc(94, 301), worst slack: 8910
inst name: dvi_encoder_m0/encb/N245_5[2]/gateop, gop: gopMUX4TO1, impl:devDMUX_S, loc(94, 301), worst slack: 8947
inst name: dvi_encoder_m0/encb/N245_5[3]/gateop, gop: gopMUX4TO1, impl:devAMUX, loc(94, 300), worst slack: 9130
inst name: dvi_encoder_m0/encb/N245_5_1/gateop_A2, gop: gopA2, impl:devABLC_S, loc(102, 305), worst slack: 8910
inst name: dvi_encoder_m0/encb/N245_5_3/gateop_A2, gop: gopA2, impl:devCDLC_S, loc(102, 305), worst slack: 8910
inst name: dvi_encoder_m0/encb/N245_5_5/gateop, gop: gopA, impl:devALC_S, loc(102, 313), worst slack: 8947
inst name: dvi_encoder_m0/encb/N245_7[1]/gateop, gop: gopMUX4TO1, impl:devBMUX_S, loc(94, 301), worst slack: 9082
inst name: dvi_encoder_m0/encb/N245_7[2]/gateop, gop: gopMUX4TO1, impl:devAMUX_S, loc(94, 301), worst slack: 9036
inst name: dvi_encoder_m0/encb/N245_7[3]/gateop, gop: gopMUX4TO1, impl:devAMUX, loc(94, 296), worst slack: 9232
